Pathway,Location,Date,RH,Tair,Tleaf,PARin,Patm,LAI,CO2S,VPD,BLCond,PFT,PFT_ID,vcmax_CLM45,epsi_o,epsi_c,r1,r2,r3,r4,r5,soil_clay_0,soil_sand_0,soil_OM_0,SM_0,SMC_0,medslope
C3,AGFACE facility_Horsham VIC,9/21/2010,32.26169811,20.33583304,21.32283019,794.2264151,101.0907756,2.184694993,374.1341509,1.457716981,5.156870977,Crop R,1,100.7,-74000,-275000,0.355185072,0.358880654,0.189622969,0.070178395,0.02613291,24,68,0.0172,0.411179073,0.995963376,6
C3,AGFACE facility_Horsham VIC,9/28/2010,26.8,18.33495938,19.32195652,878.4565217,99.982995,2.105752696,373.3343478,1.35,5.156870977,Crop R,1,100.7,-74000,-275000,0.355185072,0.358880654,0.189622969,0.070178395,0.02613291,24,68,0.0172,0.381549921,0.926400327,6
C3,AGFACE facility_Horsham VIC,10/5/2010,29.733,19.36320285,20.3502,1197.12,100.4314925,2.027193115,369.7888,1.28436,5.156870977,Crop R,1,100.7,-74000,-275000,0.355185072,0.358880654,0.189622969,0.070178395,0.02613291,24,68,0.0172,0.342754381,0.832205048,6
C3,AGFACE facility_Horsham VIC,10/12/2010,47.28416667,19.63425285,20.62125,582.5833333,100.4517243,1.952180481,377.0433333,0.974958333,5.156870977,Crop R,1,100.7,-74000,-275000,0.355185072,0.358880654,0.189622969,0.070178395,0.02613291,24,68,0.0172,0.309682499,0.751906767,6
C3,AGFACE facility_Horsham VIC,10/20/2010,35.92292683,19.40666139,20.39365854,1213.926829,100.9452764,1.813202152,374.842439,1.198634146,5.156870977,Crop R,1,100.7,-74000,-275000,0.355185072,0.358880654,0.189622969,0.070178395,0.02613291,24,68,0.0172,0.373119439,0.905931178,6
C3,AGFACE facility_Horsham VIC,10/26/2010,24.45820513,20.7742849,21.76128205,1009.871795,99.9322394,1.688365969,377.5823077,1.803589744,5.156870977,Crop R,1,100.7,-74000,-275000,0.355185072,0.358880654,0.189622969,0.070178395,0.02613291,24,68,0.0172,0.338919836,0.8228948,6
C3,Aberfeldy UK,7/19/2001,55.92702843,13.23571429,12.81714286,92.13857143,96.58887863,2.503051758,355.1357143,0.685285714,5.156870977,NET Boreal,2,62.6,-66000,-255000,0.342341972,0.322023996,0.177539138,0.089971312,0.068123583,12,51,0.1892,0.245077188,0.476193161,2.35
C3,Aberfeldy UK,7/20/2001,71.32384071,11.48428571,11.375,166.2585714,96.60702344,2.505126953,339.9714286,0.411571429,5.156870977,NET Boreal,2,62.6,-66000,-255000,0.342341972,0.322023996,0.177539138,0.089971312,0.068123583,12,51,0.1892,0.240817097,0.467915663,2.35
C3,Aberfeldy UK,7/21/2001,83.6167239,12.69916667,12.72083333,148.0091667,96.08104053,2.507202148,350.6125,0.262791667,5.156870977,NET Boreal,2,62.6,-66000,-255000,0.342341972,0.322023996,0.177539138,0.089971312,0.068123583,12,51,0.1892,0.264210574,0.51336997,2.35
C3,Aberfeldy UK,7/22/2001,69.91710212,14.39433333,14.399,196.269,96.40264958,2.509277344,356.6266667,0.586733333,5.156870977,NET Boreal,2,62.6,-66000,-255000,0.342341972,0.322023996,0.177539138,0.089971312,0.068123583,12,51,0.1892,0.265449041,0.515776352,2.35
